Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784654168,100,,Aggregated,36.666667,0.000000,270,420,510,610,880,1000,1300,1400,1500,1500,1500,402,0,270,376.0979666093685,3.418041000259109,1523.521636998339,300.82835820895525
1784654169,100,GET,/health,5.428571,0.000000,120,190,300,410,690,740,830,1000,1000,1000,1000,64,0,120,211.25577299960696,3.418041000259109,1008.070055002463,172.265625
1784654169,100,POST,/predict,32.714286,0.000000,290,400,480,570,880,1000,1300,1400,1500,1500,1500,378,0,290,398.49996381743705,68.60802300070645,1523.521636998339,299.7645502645503
1784654169,100,GET,/visualizations,2.428571,0.000000,97,300,430,550,670,770,1200,1200,1200,1200,1200,27,0,90,232.96287681430974,3.4956709932885133,1152.4823149957228,636.0
1784654169,100,,Aggregated,40.571429,0.000000,270,390,460,560,830,1000,1200,1400,1500,1500,1500,469,0,270,363.41866411290493,3.418041000259109,1523.521636998339,301.72281449893393
1784654170,100,GET,/health,6.000000,0.000000,120,190,270,380,690,740,830,1000,1000,1000,1000,70,0,67,200.50749709968972,3.418041000259109,1008.070055002463,172.24285714285713
1784654170,100,POST,/predict,35.625000,0.000000,320,410,480,530,850,1000,1200,1400,1500,1500,1500,434,0,310,397.067537587419,68.60802300070645,1523.521636998339,299.80645161290323
1784654170,100,GET,/visualizations,2.750000,0.000000,120,240,300,450,670,770,1200,1200,1200,1200,1200,32,0,90,217.31246328067755,3.4956709932885133,1152.4823149957228,636.0
1784654170,100,,Aggregated,44.375000,0.000000,290,400,460,510,790,970,1200,1300,1500,1500,1500,536,0,290,360.66573681884296,3.418041000259109,1523.521636998339,303.21828358208955
1784654171,100,GET,/health,6.444444,0.000000,120,190,300,360,690,740,830,1000,1000,1000,1000,73,0,67,197.1370181092101,3.418041000259109,1008.070055002463,172.24657534246575
1784654171,100,POST,/predict,37.222222,0.000000,330,420,480,530,830,980,1200,1400,1500,1500,1500,491,0,330,394.952121979405,68.60802300070645,1523.521636998339,299.5723014256619
1784654171,100,GET,/visualizations,2.777778,0.000000,97,240,300,300,660,770,1200,1200,1200,1200,1200,35,0,97,215.19023185662394,3.4956709932885133,1152.4823149957228,636.0
1784654171,100,,Aggregated,46.444444,0.000000,300,400,470,520,770,960,1200,1300,1500,1500,1500,599,0,300,360.3408219179333,3.418041000259109,1523.521636998339,303.7128547579299
1784654172,100,GET,/health,6.400000,0.000000,47,130,200,300,690,740,830,1000,1000,1000,1000,86,0,47,172.42886746477546,3.418041000259109,1008.070055002463,172.2325581395349
1784654172,100,POST,/predict,39.300000,0.000000,320,410,470,520,790,970,1200,1400,1500,1500,1500,548,0,300,376.8463811622337,68.60802300070645,1523.521636998339,299.2700729927007
1784654172,100,GET,/visualizations,2.900000,0.000000,80,160,240,300,660,770,1200,1200,1200,1200,1200,44,0,34,172.55334095402347,3.4956709932885133,1152.4823149957228,636.0
1784654172,100,,Aggregated,48.600000,0.000000,290,390,450,500,750,950,1200,1300,1500,1500,1500,678,0,270,337.6593605912268,3.418041000259109,1523.521636998339,305.0088495575221
1784654173,100,GET,/health,7.000000,0.000000,25,120,150,230,650,720,830,1000,1000,1000,1000,99,0,36,151.08868722179776,3.418041000259109,1008.070055002463,172.22222222222223
1784654173,100,POST,/predict,44.200000,0.000000,310,410,470,510,790,970,1200,1400,1500,1500,1500,598,0,280,359.0313983309703,68.60802300070645,1523.521636998339,299.2307692307692
1784654173,100,GET,/visualizations,3.000000,0.000000,80,160,240,300,660,770,1200,1200,1200,1200,1200,47,0,34,162.6962281697296,3.4956709932885133,1152.4823149957228,636.0
1784654173,100,,Aggregated,54.200000,0.000000,270,370,440,500,730,940,1200,1300,1500,1500,1500,744,0,250,318.95870828071975,3.418041000259109,1523.521636998339,303.60483870967744
1784654174,100,GET,/health,7.800000,0.000000,39,120,190,230,410,690,830,1000,1000,1000,1000,117,0,39,146.21174446969795,3.418041000259109,1008.070055002463,172.23931623931625
1784654174,100,POST,/predict,47.500000,0.000000,330,410,480,530,790,970,1200,1400,1500,1500,1500,643,0,290,361.17060617718244,68.60802300070645,1523.521636998339,299.0668740279938
1784654174,100,GET,/visualizations,3.200000,0.000000,80,170,210,240,550,670,1200,1200,1200,1200,1200,53,0,43,157.0318536599549,3.4956709932885133,1152.4823149957228,636.0
1784654174,100,,Aggregated,58.500000,0.000000,290,390,440,500,730,940,1200,1300,1500,1500,1500,813,0,250,316.92762868248536,3.418041000259109,1523.521636998339,302.779827798278
1784654175,100,GET,/health,8.100000,0.000000,39,120,150,230,420,690,830,1000,1000,1000,1000,120,0,41,146.0449382996861,3.418041000259109,1008.070055002463,172.25833333333333
1784654175,100,POST,/predict,49.700000,0.000000,330,420,480,530,790,980,1200,1400,1500,1500,1500,667,0,300,368.5882956281015,68.60802300070645,1523.521636998339,298.99100449775113
1784654175,100,GET,/visualizations,3.700000,0.000000,80,120,210,240,550,670,1200,1200,1200,1200,1200,54,0,43,156.34457551803078,3.4956709932885133,1152.4823149957228,636.0
1784654175,100,,Aggregated,61.500000,0.000000,290,390,440,500,720,950,1200,1300,1500,1500,1500,841,0,260,323.2061746229247,3.418041000259109,1523.521636998339,302.5469678953627
1784654176,100,GET,/health,9.000000,0.000000,41,120,190,250,520,970,1200,1200,1200,1200,1200,131,0,56,193.12456561046304,3.418041000259109,1192.0429330057232,172.2824427480916
1784654176,100,POST,/predict,50.400000,0.000000,330,410,480,530,720,950,1300,1500,1600,1600,1600,715,0,320,401.6923323832025,68.60802300070645,1554.7436339984415,298.8097902097902
1784654176,100,GET,/visualizations,4.000000,0.000000,90,200,280,410,660,910,1200,1200,1200,1200,1200,61,0,84,219.88448793401076,3.4956709932885133,1170.8420619979734,636.0
1784654176,100,,Aggregated,63.400000,0.000000,290,400,440,500,690,950,1300,1400,1600,1600,1600,907,0,280,359.341002770601,3.418041000259109,1554.7436339984415,303.212789415656
1784654177,100,GET,/health,9.100000,0.000000,43,130,200,250,520,970,1200,1200,1200,1200,1200,144,0,50,196.36468740954012,3.418041000259109,1192.0429330057232,172.30555555555554
1784654177,100,POST,/predict,49.800000,0.000000,330,410,480,530,650,920,1300,1500,1600,1600,1600,771,0,320,407.19987817505967,68.60802300070645,1554.7436339984415,298.8080415045396
1784654177,100,GET,/visualizations,4.100000,0.000000,84,200,280,360,470,910,1200,1200,1200,1200,1200,66,0,84,223.60931351475742,3.4956709932885133,1170.8420619979734,636.0
