Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,400,0,840,865.4723585724787,3.9037709939293563,1579.9172250044649,171.9975,6.760251541462163,0.0,840,980,1100,1200,1300,1400,1500,1500,1600,1600,1600
POST,/predict,2022,0,950,974.3924509352951,76.52816199697554,1689.6137160001672,298.72947576656776,34.173071542091236,0.0,950,1100,1200,1300,1400,1500,1600,1600,1700,1700,1700
GET,/visualizations,197,0,860,881.4801083650023,54.907416000787634,1513.3737190044485,636.0,3.3294238841701156,0.0,860,980,1100,1100,1300,1400,1500,1500,1500,1500,1500
,Aggregated,2619,0,930,950.7682552760847,3.9037709939293563,1689.6137160001672,304.7430316914853,44.262746967723515,0.0,930,1100,1200,1300,1400,1500,1600,1600,1700,1700,1700
