Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,540,0,270,297.35628324621456,3.5084659975836985,877.8951299973414,172.38518518518518,9.11549788957084,0.0,270,370,460,500,600,680,740,780,880,880,880
POST,/predict,2676,0,410,445.6446208143704,95.25653699529357,1086.0979950011824,298.9921524663677,45.172356208317716,0.0,410,530,600,650,760,850,920,960,1100,1100,1100
GET,/visualizations,262,0,240,273.44745667175306,3.7560060009127483,827.0056940018549,636.0,4.422704531606592,0.0,240,340,420,460,590,670,760,790,830,830,830
,Aggregated,3478,0,380,409.6494053767132,3.5084659975836985,1086.0979950011824,304.72196664749856,58.71055862949515,0.0,380,490,570,620,740,820,900,950,1000,1100,1100
